topology,target,BC1,BC2,BC3,BC4,BC5,BC6,P2.csv0,P2.csv1,P2.csv2,P2.csv3,P2.csv4,P2.csv5,P2.csv6,P2.csv7,P2.csv8,P2.csv9,P2.csvmean,P2.csvstd,time,P1.csv0,P1.csv1,P1.csv2,P1.csv3,P1.csv4,P1.csv5,P1.csv6,P1.csv7,P1.csv8,P1.csv9,P1.csvmean,P1.csvstd,A2.csv0,A2.csv1,A2.csv2,A2.csv3,A2.csv4,A2.csv5,A2.csv6,A2.csv7,A2.csv8,A2.csv9,A2.csvmean,A2.csvstd,H2.csv0,H2.csv1,H2.csv2,H2.csv3,H2.csv4,H2.csv5,H2.csv6,H2.csv7,H2.csv8,H2.csv9,H2.csvmean,H2.csvstd,N_H2.csv0,N_H2.csv1,N_H2.csv2,N_H2.csv3,N_H2.csv4,N_H2.csv5,N_H2.csv6,N_H2.csv7,N_H2.csv8,N_H2.csv9,A1.csv0,A1.csv1,A1.csv2,A1.csv3,A1.csv4,A1.csv5,A1.csv6,A1.csv7,A1.csv8,A1.csv9,A1.csvmean,A1.csvstd,H1.csv0,H1.csv1,H1.csv2,H1.csv3,H1.csv4,H1.csv5,H1.csv6,H1.csv7,H1.csv8,H1.csv9,H1.csvmean,H1.csvstd,N_H1.csv0,N_H1.csv1,N_H1.csv2,N_H1.csv3,N_H1.csv4,N_H1.csv5,N_H1.csv6,N_H1.csv7,N_H1.csv8,N_H1.csv9
1,4,0,1,0,0,0,0,119.19087332394922,76.8326962986168,118.33831817442189,170.3287668194375,204.3790720630469,219.00101358649215,155.1971054152367,17.892007320277735,-107.0357678432121,-115.36300367509882,85.8761081483168,125.22924235971496,15.0,26.57175797788281,215.789488241118,348.0938807460012,276.585785610868,149.96910637415823,174.09236151343202,28.01008865446367,-38.60702450639063,-121.07517957885428,82.20215239593749,114.16324174286164,4093.203100166287,0.0015102792574218,0.0010058872261718,-0.0008876551011718,-0.00135083385625,0.0020677017347656,-0.00036018251875,-0.0003364886335937,-0.0022763664203125,-0.0028177837046875,-0.0025585145855468,-0.0006003956601953,0.0033104713980902,-0.0129212951660156,-0.0010486221313476,-0.0158868026733398,-0.0066095352172851,-0.0185891723632812,0.0270122146606445,0.0069851684570312,-0.0172105407714843,-0.0018017196655273,0.0063374328613281,-0.0033732872009277,0.0963883274781696,3.5858154296875e-06,-0.0001074981689453,-0.000103416442871,-1.735687255859375e-05,-0.0001021194458007,-0.0001065826416015,-4.608154296875e-05,-5.3558349609375e-05,-7.534027099609375e-05,-4.795074462890625e-05,7.838746249999999e-05,0.0003542309648437,0.0001757591128906,0.0003129835382812,6.874956640625006e-06,0.0001741637015624,-0.0002336518679687,0.0004491116078124,0.0001001151355468,0.0001152378058593,0.0001533212417968,0.0138276386147671,-0.006060791015625,-0.0071379852294921,-0.0341776275634765,-0.026568260192871,-0.009711799621582,0.0401351928710937,0.001534309387207,-0.0337595748901367,-0.0048696136474609,0.0379617309570312,-0.0042654418945312,0.2047827050117877,0.000832176208496,0.0008584213256835,0.0009809494018554,0.0010417175292968,0.0003229141235351,0.0011498641967773,0.0001994705200195,0.001373062133789,0.000328369140625,0.0014985656738281
1,4,0,1,0,0,0,0,-224.5089845095703,-95.22268738473204,-74.60730433049375,38.53114529211914,113.77614202233596,250.64370106570317,437.1662086525391,388.018010631289,282.0021824401172,210.58434933303903,132.63827632123466,214.8762343245984,3.0,142.5333413034875,66.42984177910273,174.64501304667382,169.3683882126668,125.0194919510125,92.40392079927108,120.31039650920157,-89.30857183152071,124.43622270710782,-73.19534771952382,85.26426967574791,4206.197010300471,0.0016266005035156,0.001517824309375,0.0007165667621093,-0.0008696472521875,-0.0012928281808593,0.0005685306328124,0.0014159171804687,0.0024228031242187,-0.0005906204503906,-0.0001469738371093,0.0005368172791953,0.0028218309222707,-0.0012636566162109,-0.0071566009521484,-0.0018224334716796,-0.0081832885742187,-0.0021883010864257,0.019342918395996,0.025149917602539,-0.0058183670043945,-0.0029307556152343,-0.0190521240234375,-0.0003922691345214,0.1105874082506206,1.8310546875e-06,-2.613067626953125e-05,-0.0001515197753906,-0.0001211547851562,-2.170562744140625e-05,-2.559661865234375e-05,-7.82012939453125e-05,-7.82012939453125e-05,-0.0001332473754882,-1.24359130859375e-05,4.5388237890625e-05,5.00400296875e-05,0.0003533575664062,8.361710937499989e-07,0.0003303453890625,8.945568593749997e-05,-0.0002345200855468,0.0002959853371093,0.0001691951960937,-7.882562890625e-05,0.0001021257898828,0.0134030386848983,0.020978775024414,-0.0370510482788085,-0.0153939056396484,0.0060128784179687,0.0105695724487304,0.0242433166503906,0.0341682815551757,0.0147840118408203,-0.0128174209594726,-0.0233985900878906,0.0022095870971679,0.2461866459200442,0.0016698837280273,0.000501480102539,0.0016637802124023,0.0004146575927734,0.0011854171752929,-8.808135986328125e-05,0.0007969284057617,0.0013158798217773,0.0007573318481445,0.0013370132446289
0,4,0,0,0,0,1,0,30.75194678145352,-43.5725152996668,-19.32307209447617,31.185505618414844,113.61936588173673,144.35184831602345,218.4582200370547,263.7667136066992,298.161844223168,234.5299064933594,127.19297635637668,138.15061736049833,14.0,-146.83854225974844,17.56851865733008,-14.745249201001563,155.91999162545898,-26.837047532598824,14.485578773111715,-79.17697837310625,-143.63632413443125,-166.30898873593438,-246.39665563411563,-63.59656968150353,4310.120195388708,0.0001036462539062,9.8160023828125e-05,0.00016488916875,0.0002506160773437,0.0001763578636718,0.0002794160464843,0.0002330477785156,0.0002216182894531,0.0001295652863281,9.4699895703125e-05,0.0001752016683984,0.0024079336054217,0.0092974090576171,0.0049440383911132,0.005944595336914,-0.0079352569580078,-0.0076417160034179,-0.0019254684448242,-5.4779052734375e-05,-0.0042572021484375,-0.0012338638305664,0.0021003341674804,-7.619094848632812e-05,0.0487903607310297,-9.60540771484375e-05,-4.2724609375e-06,-0.0001022720336914,-5.512237548828125e-05,-7.930755615234375e-05,-1.36566162109375e-05,-7.923126220703125e-05,-8.99505615234375e-05,-6.1798095703125e-05,-8.449554443359374e-05,0.0003250383753906,0.00027594455,0.0001559538707031,0.0002083246101562,0.0002747763384765,0.0001236931371093,3.374477890624999e-05,0.000293778140625,0.0001755182742187,0.0001013376765625,0.0001968109752148,0.0106942482222738,0.0014752197265625,-0.0098389816284179,-0.0070278167724609,0.0128962326049804,0.0001300048828125,0.0124817657470703,-0.0167681121826171,0.016690330505371,0.0032067489624023,0.0033038711547851,0.0016549263000488,0.1123239862080893,0.0014850616455078,0.0007862091064453,0.0007191848754882,0.0009066009521484,0.0005347824096679,0.001431655883789,0.0003229904174804,0.0013482284545898,0.0002518844604492,0.001506233215332
1,4,0,0,0,0,0,1,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.0040411758422851,-0.0013752365112304,-0.0033517456054687,0.0333476638793945,0.0197810363769531,-0.0061972045898437,-0.0616589736938476,-0.0261440658569335,0.0516609573364257,0.0208504104614257,0.0022871665954589,0.1815965003369487,,,,,,,,,,,,,,,,,,,,,,,-0.0111135101318359,-0.0023113632202148,0.0077845382690429,0.0778534317016601,0.0279500579833984,-0.033248062133789,-0.0859407424926757,-0.0501411437988281,0.0649437713623046,0.0497779464721679,0.004555492401123,0.3865891604290387,,,,,,,,,,
0,4,0,1,0,0,0,0,-326.78177054652343,-225.29125416438677,-103.57029811284728,50.48602870991484,146.04681854830818,224.23900451178125,308.20799473804686,315.6561722632422,301.23084058930465,205.8748737374844,89.60984102743251,236.2246824993314,4.0,-74.02956097599258,13.1135598967879,-20.62439510445626,-23.01292883593085,93.42027600637226,-42.93746905955234,-160.01814779117734,-94.88636144289688,-165.01997933833007,-190.21459941651955,-66.42096060616959,3090.9079926249533,6.70560859375e-05,4.283258125e-05,0.0001635273199218,0.0001629745457031,0.0002139923109375,0.0002119162648437,0.000288836065625,0.00024038459375,0.0003900766570312,0.0004149065535156,0.0002196502978515,0.0024779147297005,-0.0044218826293945,-0.0063838195800781,-0.0099427795410156,-0.0049445343017578,0.0089896774291992,0.0008900833129882,-0.0078173065185546,0.0026239395141601,-0.0001568603515625,-0.0064017486572265,-0.0027565231323242,0.1660700567216325,-9.387969970703123e-05,-7.472991943359375e-05,3.24249267578125e-05,-0.0001218795776367,-0.0001254653930664,-6.122589111328125e-05,4.61578369140625e-05,-0.0001139831542968,-4.352569580078125e-05,-0.0001633071899414,8.9444159375e-05,-0.0001195029449218,0.0001217779835937,-0.0001714197523437,-0.0001666072082031,3.4440265234375e-05,-0.0001606914644531,-0.0001530022789062,-0.0001758425917968,8.350643164062499e-05,-6.178974007812499e-05,0.0100588066915553,0.008460578918457,0.0108297729492187,0.0023394393920898,0.0089753723144531,0.0004541397094726,-0.0011874389648437,-0.0184734725952148,0.0173247146606445,-0.0145969772338867,0.001899070739746,0.0016025199890136,0.1867192903459329,0.0003249740600585,0.0013204193115234,0.0001930618286132,0.0014075851440429,0.0002587890625,0.0014709091186523,0.0001568603515625,0.0012383270263671,0.0007058715820312,0.0011079025268554
0,4,0,0,0,1,0,0,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.0035366058349609,0.0013534927368164,-0.0137984085083007,0.0101083755493164,-0.0079435729980468,0.0031293106079101,-0.0034412002563476,0.0047419738769531,0.0002957534790039,0.0003857421875,-0.0008705139160156,0.0395359682481256,-3.85284423828125e-05,-0.0001142883300781,-6.5155029296875e-05,-7.587432861328125e-05,-0.00010009765625,2.368927001953125e-05,-7.915496826171875e-05,-0.0001042938232421,-1.73187255859375e-05,-0.0001150894165039,,,,,,,,,,,,,-0.0049778366088867,-0.0053031539916992,0.0186599731445312,-0.0083181762695312,0.0121380233764648,-0.0177930831909179,0.0165733337402343,-0.0102496337890625,0.0198887634277343,-0.0073978424072265,0.001322036743164,0.1241233059234909,0.0007941818237304,0.0007753372192382,0.0010733795166015,0.0004015350341796,0.0013416290283203,0.0003123474121093,0.0014011001586914,0.0001876068115234,0.0010565567016601,0.0005574035644531
1,4,0,0,0,1,0,0,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.0202177047729492,0.0176409912109375,-0.0023225784301757,0.0133966827392578,-0.0139868927001953,0.0016784286499023,-0.0246010971069335,0.0130020141601562,0.0199412155151367,0.009805564880371,0.0014336624145507,0.1186104784429018,-7.02667236328125e-05,-6.98089599609375e-05,-7.175445556640625e-05,-3.536224365234375e-05,-0.0001250076293945,-6.53076171875e-05,-3.5858154296875e-05,-6.47735595703125e-05,-5.95855712890625e-05,-0.0001128387451171,,,,,,,,,,,,,-0.029368667602539,0.0314211273193359,0.0077826309204101,0.03140869140625,-0.0453929901123046,0.0062622451782226,-0.0581623840332031,0.0414297485351562,0.0713841247558593,0.0031373214721679,0.0059901847839355,0.2590583134446928,0.0009438705444335,0.0006555557250976,0.0008504486083984,0.0009593963623046,0.0006922149658203,0.0012510299682617,0.0002473068237304,0.0011686325073242,0.0003031921386718,0.0015943527221679
0,4,0,0,0,0,0,1,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,0.001276626586914,-0.0004183197021484,-0.0015263366699218,-0.0013301467895507,-0.0022507858276367,-0.0051856994628906,0.0030051040649414,-0.00477294921875,-0.0052827835083007,0.0092718505859375,-0.0007213439941406,0.3095047515157048,,,,,,,,,,,,,,,,,,,,,,,-0.0005876922607421,0.006065559387207,-0.0080928421020507,0.005833396911621,-0.0015569686889648,0.0001304626464843,-0.0008793640136718,-0.0016946792602539,0.0119578170776367,0.0014675140380859,0.0012643203735351,0.2611582775374618,,,,,,,,,,
1,4,0,0,0,1,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.0034217453002929,-0.0051192092895507,-0.0058433151245117,0.0219055938720703,-0.0067384719848632,0.0151121520996093,-0.0189264678955078,-0.0257325363159179,0.0145705413818359,0.0203406524658203,0.0006147193908691,0.0958203471721845,-3.0670166015625e-05,-5.65338134765625e-05,-0.0001347732543945,-0.0001227188110351,1.73187255859375e-05,-8.056640625e-05,-6.6070556640625e-05,-1.895904541015625e-05,-0.0001623916625976,4.61578369140625e-05,,,,,,,,,,,,,0.0302429962158203,-0.0135623931884765,-0.0377157974243164,0.0170275115966796,0.0242391204833984,0.0375067901611328,-0.0374916458129882,-0.0566883468627929,0.0146918487548828,0.0447228622436523,0.0022972946166992,0.2015346040337954,0.0010330581665039,0.0004702377319335,0.0012858581542968,-7.183074951171874e-05,0.0011167907714843,0.000493049621582,0.0008910751342773,0.0009335708618164,0.001287612915039,0.0007738494873046
0,4,0,0,1,0,0,0,-78.99008663262305,-61.58973582692148,31.464499544532423,150.04696346044335,303.5175673000391,326.50477779421874,248.54211740509768,101.17191540217812,18.220880255828515,-26.50568101090664,101.2383217691887,156.19470184647736,13.0,157.3157001217832,-108.95780796950665,-337.8168395714223,-329.3102203713785,-351.85224081665234,-333.9750654018449,-236.2634658288211,82.35460246931562,296.3844707077551,545.195754936223,-61.69251117245487,4278.803572231282,0.0003961898035156,0.0004678962886718,0.0005247580417968,0.0004922449609375,0.0004757379656249,0.0004177831347656,0.0004680261472656,0.0003866033070312,0.0003213146242187,0.0002353605613281,0.0004185914835156,0.0014938592223382,-0.0056230926513671,9.5062255859375e-05,-0.0015178680419921,-0.0041795349121093,0.0109115982055664,-0.0059846878051757,-0.000350227355957,0.0080861282348632,-0.0073200225830078,-0.0007429122924804,-0.00066255569458,0.0287872135241135,,,,,,,,,,,0.0003318469230468,0.000238814771875,0.0002613646441406,0.0001458121480468,0.0002112059683593,0.0001356481152343,0.0001659736453125,0.0001654181464843,0.0001853713238281,0.0003230553769531,0.0002164511063281,0.0019169232409662,-0.0007878112792968,0.0074278259277343,-0.0120252990722656,0.001192626953125,0.0104103469848632,0.000301170349121,-0.0044462966918945,0.0185941314697265,-0.005142822265625,-0.0111803436279296,0.0004343528747558,0.1060674335623721,,,,,,,,,,
