topology,target,BC1,BC2,BC3,BC4,BC5,BC6,P2.csv0,P2.csv1,P2.csv2,P2.csv3,P2.csv4,P2.csv5,P2.csv6,P2.csv7,P2.csv8,P2.csv9,P2.csvmean,P2.csvstd,time,P1.csv0,P1.csv1,P1.csv2,P1.csv3,P1.csv4,P1.csv5,P1.csv6,P1.csv7,P1.csv8,P1.csv9,P1.csvmean,P1.csvstd,A2.csv0,A2.csv1,A2.csv2,A2.csv3,A2.csv4,A2.csv5,A2.csv6,A2.csv7,A2.csv8,A2.csv9,A2.csvmean,A2.csvstd,H2.csv0,H2.csv1,H2.csv2,H2.csv3,H2.csv4,H2.csv5,H2.csv6,H2.csv7,H2.csv8,H2.csv9,H2.csvmean,H2.csvstd,N_H2.csv0,N_H2.csv1,N_H2.csv2,N_H2.csv3,N_H2.csv4,N_H2.csv5,N_H2.csv6,N_H2.csv7,N_H2.csv8,N_H2.csv9,A1.csv0,A1.csv1,A1.csv2,A1.csv3,A1.csv4,A1.csv5,A1.csv6,A1.csv7,A1.csv8,A1.csv9,A1.csvmean,A1.csvstd,H1.csv0,H1.csv1,H1.csv2,H1.csv3,H1.csv4,H1.csv5,H1.csv6,H1.csv7,H1.csv8,H1.csv9,H1.csvmean,H1.csvstd,N_H1.csv0,N_H1.csv1,N_H1.csv2,N_H1.csv3,N_H1.csv4,N_H1.csv5,N_H1.csv6,N_H1.csv7,N_H1.csv8,N_H1.csv9
1,3,0,1,0,0,0,0,-33.25766886719922,-34.75640831797266,-188.5826725539453,-174.54575905378906,-18.28208864311406,65.13488404993008,46.22735953526328,66.49690636820782,148.09375326527345,193.14523884378903,6.967354462644332,125.27761839978838,3.0,-35.61644863310234,-68.81832205813359,138.31253311184022,48.36883226689414,241.343028506091,164.16171480159295,220.9929370224176,313.9053439472352,120.00546439750936,249.7284857895207,139.23835691518653,3191.773073088168,0.0007571924497656,0.0010826613917968,0.0038264118242187,0.0022512673778906,0.0020873288824218,0.0015865085972656,-7.5924292578125e-05,-0.0005916884496093,-0.0004971400457031,-0.0015001387514062,0.0008926478984062,0.0022693021345614,0.0015959167480468,-0.0116552734375,0.0079975128173828,0.0058304977416992,-0.0097925186157226,-0.0030854415893554,0.0067118835449218,0.0037111282348632,0.0039723968505859,0.0025124740600585,0.000779857635498,0.0601542684049472,1.8310546875e-06,-2.613067626953125e-05,-0.0001515197753906,-0.0001211547851562,-2.170562744140625e-05,-2.559661865234375e-05,-7.82012939453125e-05,-7.82012939453125e-05,-0.0001332473754882,-1.24359130859375e-05,0.0003085089519531,9.8608598828125e-05,0.0005535087257812,-0.000248562378125,0.0001749174921875,0.0001566001648437,0.0001468048621093,0.0001292302714843,-0.0003387319792968,0.0005239501917968,0.0001504834901562,0.0145473186703838,0.0149191284179687,-0.0014083862304687,-0.0002024841308593,0.004135398864746,-0.0062995529174804,-0.00329833984375,0.0009890747070312,0.0227447509765625,0.025132942199707,-0.030750503540039,0.0025962028503417,0.117616300040892,0.0016698837280273,0.000501480102539,0.0016637802124023,0.0004146575927734,0.0011854171752929,-8.808135986328125e-05,0.0007969284057617,0.0013158798217773,0.0007573318481445,0.0013370132446289
0,3,0,0,0,0,1,0,-60.54761517346367,10.554580782846484,60.3192694594707,63.544315416215625,13.076834975024218,-62.223947903800784,-262.6700908828672,-319.22824375496094,-301.3057270076953,-198.69437021633672,-105.71749943055674,160.25656535341656,14.0,2.9389930504632806,12.295980444465236,8.27356488005703,9.616785856189065,13.387746572047266,16.588527979159373,11.170276216486718,20.757263689881643,12.753905396775387,22.94772404055039,13.07307681260754,1592.2556130082412,0.0002967603003906,0.0004031464148437,0.0001677906574218,0.0004734787753906,9.3821005078125e-05,0.0002260818738281,0.0004469084902343,0.0001983800820312,0.0005145628183593,5.7078055078125e-05,0.0002878008472656,0.0020009094253348,0.0124510955810546,-0.0136973571777343,-0.0149820327758789,-0.008906021118164,0.0406463623046875,-0.0269258499145507,0.0014841842651367,-0.024007453918457,-0.0074332046508789,0.0236496353149414,-0.0017720642089843,0.0909761053959992,-9.60540771484375e-05,-4.2724609375e-06,-0.0001022720336914,-5.512237548828125e-05,-7.930755615234375e-05,-1.36566162109375e-05,-7.923126220703125e-05,-8.99505615234375e-05,-6.1798095703125e-05,-8.449554443359374e-05,0.0001764620964843,0.0001995136394531,0.0001911996621093,0.0001973399679687,0.0001537786310546,0.0001136241894531,0.0001101920455078,0.0001028108535156,6.74284849609375e-05,0.0001005012566406,0.0001412850827148,0.0009798922193611,0.0087707138061523,0.0016384887695312,0.0156335830688476,-0.0055410385131835,0.0005122756958007,0.0196829605102539,-0.0115283584594726,-0.0062926483154296,0.0159770202636718,-0.0214380264282226,0.0017414970397949,0.100882870518569,0.0014850616455078,0.0007862091064453,0.0007191848754882,0.0009066009521484,0.0005347824096679,0.001431655883789,0.0003229904174804,0.0013482284545898,0.0002518844604492,0.001506233215332
1,3,0,0,0,0,0,1,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.0116019821166992,0.0085436248779296,0.0072867202758789,-0.0054763412475585,0.0038370895385742,0.011225242614746,0.0019216537475585,-0.0129834365844726,0.0135171508789062,-0.0203215408325195,-0.0004051818847656,0.0659994762688231,,,,,,,,,,,,,,,,,,,,,,,-0.0082171630859375,0.0035270309448242,0.0108126831054687,0.0159725952148437,-0.00051513671875,0.003687515258789,0.0216658020019531,-0.0130818176269531,0.0061632919311523,-0.027360725402832,0.0012654075622558,0.1204950910997193,,,,,,,,,,
0,3,0,1,0,0,0,0,-106.32116179835197,-138.35893273017422,-40.60675174024532,218.92333626906836,368.16910273808594,363.6436329855078,253.87541230233592,-20.26616127806875,-171.94162620939295,-219.05173443060508,50.806511610816,230.93664364551907,4.0,14.052748222047263,2.88072678994883,-3.5384915081648445,12.630859803544922,-9.36655464258867,-13.769568639927732,31.85211824000469,-1.4539959399429674,21.21490129688984,17.812630357441403,7.231537397925274,1434.738375588675,0.0003824484039062,0.0002635701503906,0.0001939007621093,0.0004692833261718,0.0001765415382812,0.0005641028527343,2.9305912890625003e-05,0.0004753362464843,0.0002516120972656,0.0004240964312499,0.0003230197721484,0.0019789793977033,0.0127494430541992,0.061358413696289,0.0032804870605468,-0.0519302368164062,-0.0213169860839843,0.0152169799804687,0.0527781677246093,0.0107562637329101,-0.0460676956176757,-0.0585446166992187,-0.0021719779968261,0.2782618874382755,-9.387969970703123e-05,-7.472991943359375e-05,3.24249267578125e-05,-0.0001218795776367,-0.0001254653930664,-6.122589111328125e-05,4.61578369140625e-05,-0.0001139831542968,-4.352569580078125e-05,-0.0001633071899414,0.0001436181144531,0.0001112065585937,0.000123895649414,0.0001017855070312,0.0001206731373046,0.0001592991542968,0.0001220411169921,0.0001648084152343,0.0001166902875,0.0001275584320312,0.0001291576372851,0.0009005742958379,-0.0243323898315429,-0.0418328094482421,0.0010837936401367,0.0335251998901367,0.0258412551879882,-0.0042024993896484,-0.0589665985107421,0.0084365463256835,0.0410697937011718,0.005274543762207,-0.0014103164672851,0.2087194836427009,0.0003249740600585,0.0013204193115234,0.0001930618286132,0.0014075851440429,0.0002587890625,0.0014709091186523,0.0001568603515625,0.0012383270263671,0.0007058715820312,0.0011079025268554
0,3,0,0,0,1,0,0,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.0116773605346679,-0.0315093231201171,0.0040263748168945,0.0421110534667968,-0.0102602386474609,-0.0378603744506836,-0.00732177734375,0.035773811340332,0.0208083724975585,-0.0487417984008789,-0.0044651260375976,0.1603726464701016,-3.85284423828125e-05,-0.0001142883300781,-6.5155029296875e-05,-7.587432861328125e-05,-0.00010009765625,2.368927001953125e-05,-7.915496826171875e-05,-0.0001042938232421,-1.73187255859375e-05,-0.0001150894165039,,,,,,,,,,,,,0.0012773513793945,0.0377400970458984,-0.0020413970947265,-0.0377008438110351,0.0104055023193359,0.0199050140380859,0.0074333190917968,-0.0305702972412109,0.0021991729736328,0.0354876327514648,0.0044135551452636,0.1514473513780253,0.0007941818237304,0.0007753372192382,0.0010733795166015,0.0004015350341796,0.0013416290283203,0.0003123474121093,0.0014011001586914,0.0001876068115234,0.0010565567016601,0.0005574035644531
1,3,0,0,0,1,0,0,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0042354202270507,0.0032569503784179,-0.0005594635009765,-0.001914939880371,-0.004751968383789,-0.0043244552612304,-0.0094764328002929,0.0047369003295898,0.0226361846923828,-0.0025075531005859,0.0011330642700195,0.0618843260843485,-7.02667236328125e-05,-6.98089599609375e-05,-7.175445556640625e-05,-3.536224365234375e-05,-0.0001250076293945,-6.53076171875e-05,-3.5858154296875e-05,-6.47735595703125e-05,-5.95855712890625e-05,-0.0001128387451171,,,,,,,,,,,,,0.0221730041503906,-0.0034214782714843,-0.0157438659667968,0.0050374603271484,-0.0138845062255859,-0.0071635818481445,-0.0054908370971679,0.0171061325073242,0.0222010421752929,0.0016676712036132,0.0022481040954589,0.1431572703469883,0.0009438705444335,0.0006555557250976,0.0008504486083984,0.0009593963623046,0.0006922149658203,0.0012510299682617,0.0002473068237304,0.0011686325073242,0.0003031921386718,0.0015943527221679
0,3,0,0,0,0,0,1,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0188095092773437,-0.0149636459350585,-0.0196949386596679,0.0152787780761718,0.0207004165649414,-0.0077838134765625,-0.0191370773315429,-0.010105857849121,0.0267681884765625,0.0019339752197265,0.0011805534362792,0.0987901676327491,,,,,,,,,,,,,,,,,,,,,,,-0.0088306808471679,0.0045588302612304,0.0002101135253906,0.006253318786621,-0.0173664093017578,-0.0015850830078125,0.0195114517211914,0.0193270111083984,-0.0226652908325195,-0.0038480377197265,-0.0004434776306152,0.1566949990959955,,,,,,,,,,
1,3,0,0,0,1,0,0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0094095993041992,-0.005868911743164,-0.0044172668457031,-0.0075274658203125,-0.0026019668579101,0.0013260650634765,0.0034503173828125,-0.0181554794311523,0.0111050033569335,-0.0090618133544921,-0.0022341918945312,0.0641907079321163,-3.0670166015625e-05,-5.65338134765625e-05,-0.0001347732543945,-0.0001227188110351,1.73187255859375e-05,-8.056640625e-05,-6.6070556640625e-05,-1.895904541015625e-05,-0.0001623916625976,4.61578369140625e-05,,,,,,,,,,,,,0.0215357971191406,-0.0142290496826171,-0.0105265426635742,-0.0058604431152343,-0.009019546508789,0.0045711135864257,-0.0014659881591796,-0.0247486114501953,0.0059476852416992,-0.0287091064453125,-0.0062504692077636,0.1513375982924253,0.0010330581665039,0.0004702377319335,0.0012858581542968,-7.183074951171874e-05,0.0011167907714843,0.000493049621582,0.0008910751342773,0.0009335708618164,0.001287612915039,0.0007738494873046
0,3,0,0,1,0,0,0,51.83067708565312,-0.6138316461339844,-56.52112504573008,-213.486923853168,-314.68498940304687,-412.93570777082033,-350.28590321171873,-254.43714817527345,-144.55031084763283,54.84676189978594,-164.08385009680853,174.47088937462536,13.0,-88.66323704875273,-87.45401251936914,-63.9898526021082,-90.7980171963414,-65.18713653720938,-67.7561839350922,-77.5101800879664,-81.20090894748515,-55.993613957860944,-64.74610082372578,-74.32992436559113,276.8288611137827,0.0001501518230468,0.0002519818550781,0.0005051617285156,0.0002129874890624,0.0005531611046875,6.85078625e-05,0.0005525283285156,0.000246199471875,0.0005453429472656,0.0001410932875,0.0003227115898046,0.0019826792112376,0.0220194625854492,-0.0335678100585937,-0.042304458618164,0.0108985137939453,0.0278369903564453,0.0216145324707031,-0.029261131286621,-0.0291348648071289,0.0444516372680664,0.0332951354980468,0.0025848007202148,0.1978777531923976,,,,,,,,,,,0.0003069432123046,0.0003255500029296,0.0003246619246093,0.0003330202242187,0.000328499730664,0.0003226990001953,0.0003135726662109,0.0002971775654296,0.0002799259945312,0.0002863051949218,0.0003118355516015,0.0001750879401892,-0.0108670806884765,0.0126943969726562,0.0293621063232421,0.0022536087036132,-0.0219434356689453,-0.0119440460205078,0.0157039642333984,0.0292959976196289,-0.0391437149047851,-0.0183800888061523,-0.0012968292236328,0.17560799287912,,,,,,,,,,
0,3,0,0,0,0,0,1,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,-0.014741096496582,-0.0066594314575195,0.0239258575439453,0.0074809646606445,-0.0070583343505859,-0.0181327056884765,-0.019350357055664,0.0068387985229492,0.0354934310913085,0.0059869003295898,0.0013784027099609,0.1358409046778869,,,,,,,,,,,,,,,,,,,,,,,0.0119001770019531,0.013495750427246,-0.0221101379394531,0.0005558013916015,-0.0070067977905273,0.0082321166992187,0.0204896163940429,0.0033404541015625,-0.025606689453125,-0.0125555419921875,-0.0009265251159667,0.1860043321328753,,,,,,,,,,
