{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_05', 'train_round': 3, 'timestamp': '2024-10-21T15:14:33.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.00022669522621790567, 'cost_qom': 0.5426067886010788, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.050000011920928955, 'performance_post': 0.5953333377838135, 'performance_test': 0.5453333258628845}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_06', 'train_round': 3, 'timestamp': '2024-10-21T15:14:31.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.00023311896442549485, 'cost_qom': 0.8246232773105958, 'cost_qod': 14.9, 'cost_context': 2.99, 'improvement_diff': 0.07833337783813477, 'performance_post': 0.6073333621025085, 'performance_test': 0.5289999842643738}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 3, 'timestamp': '2024-10-21T15:14:31.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.00020118276674866716, 'cost_qom': 0.7953342246593209, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.0743333101272583, 'performance_post': 0.6119999885559082, 'performance_test': 0.5376666784286499}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_08', 'train_round': 3, 'timestamp': '2024-10-21T15:14:30.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.0002029900086282697, 'cost_qom': 0.8031196467707712, 'cost_qod': 14.92, 'cost_context': 2.99, 'improvement_diff': 0.07333332300186157, 'performance_post': 0.6236666440963745, 'performance_test': 0.5503333210945129}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_02', 'train_round': 3, 'timestamp': '2024-10-21T15:14:56.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.00013887234849886646, 'cost_qom': 0.6745483602359229, 'cost_qod': 14.93, 'cost_context': 2.99, 'improvement_diff': 0.06133335828781128, 'performance_post': 0.6140000224113464, 'performance_test': 0.5526666641235352}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_04', 'train_round': 3, 'timestamp': '2024-10-21T15:14:52.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.008899731632334236, 'cost_qom': 0.9217129240808625, 'cost_qod': 14.97, 'cost_context': 2.99, 'improvement_diff': 0.08766669034957886, 'performance_post': 0.6159999966621399, 'performance_test': 0.528333306312561}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_01', 'train_round': 3, 'timestamp': '2024-10-21T15:14:56.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.0001788836649495012, 'cost_qom': 0.39935530794183477, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.036333322525024414, 'performance_post': 0.5886666774749756, 'performance_test': 0.5523333549499512}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 4, 'timestamp': '2024-10-21T15:15:39.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.004521216785088629, 'cost_qom': 0.5017450057709986, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.04066663980484009, 'performance_post': 0.6606666445732117, 'performance_test': 0.6200000047683716}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_10', 'train_round': 4, 'timestamp': '2024-10-21T15:15:36.000+07:00', 'edge_id': 'edge10', 'cost_resource': 0.00017633105246484841, 'cost_qom': 0.6068568680540138, 'cost_qod': 14.96, 'cost_context': 2.99, 'improvement_diff': 0.049666643142700195, 'performance_post': 0.6636666655540466, 'performance_test': 0.6140000224113464}
{'model_id': 'leak_case1', 'run_id': '1', 'dataset_id': 'water_leak_03', 'train_round': 4, 'timestamp': '2024-10-21T15:15:39.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.013167352808649488, 'cost_qom': 0.3750754071746279, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': 0.03100001811981201, 'performance_post': 0.6389999985694885, 'performance_test': 0.6079999804496765}
