{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_02', 'train_round': 1, 'timestamp': '2024-10-29T09:36:17.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.00015478254279050588, 'cost_qom': 1.079197657368521, 'cost_qod': 14.93, 'cost_context': 2.99, 'improvement_diff': 0.2647999972105026, 'performance_post': 0.46959999203681946, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_03', 'train_round': 1, 'timestamp': '2024-10-29T09:36:21.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.00020661028865899436, 'cost_qom': 1.0624467312011037, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': 0.2612000107765198, 'performance_post': 0.46560001373291016, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 1, 'timestamp': '2024-10-29T09:36:26.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.026939898592920012, 'cost_qom': 1.0873232378534659, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.24480000138282776, 'performance_post': 0.46799999475479126, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_03', 'train_round': 2, 'timestamp': '2024-10-29T09:36:56.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.00040909700833547134, 'cost_qom': 1.0677864230401624, 'cost_qod': 14.95, 'cost_context': 2.99, 'improvement_diff': 0.12800002098083496, 'performance_post': 0.5472000241279602, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_05', 'train_round': 2, 'timestamp': '2024-10-29T09:36:55.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.00019302390531731228, 'cost_qom': 0.9555057535820329, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.11520001292228699, 'performance_post': 0.5320000052452087, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_08', 'train_round': 2, 'timestamp': '2024-10-29T09:36:53.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.00018607618063340835, 'cost_qom': 2.098917704799555, 'cost_qod': 10.76, 'cost_context': 2.99, 'improvement_diff': 0.6433408558368683, 'performance_post': 0.8623024821281433, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_09', 'train_round': 2, 'timestamp': '2024-10-29T09:36:57.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.0002347060063703421, 'cost_qom': 1.9579268175316493, 'cost_qod': 11.59, 'cost_context': 2.99, 'improvement_diff': 0.693002238869667, 'performance_post': 0.8826184868812561, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_01', 'train_round': 2, 'timestamp': '2024-10-29T09:36:56.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.00020025014344992906, 'cost_qom': 0.8700598448261353, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.10400000214576721, 'performance_post': 0.524399995803833, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_04', 'train_round': 2, 'timestamp': '2024-10-29T09:36:58.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.027654701904025913, 'cost_qom': 0.8788414122469788, 'cost_qod': 14.97, 'cost_context': 2.99, 'improvement_diff': 0.10280001163482666, 'performance_post': 0.5324000120162964, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_07', 'train_round': 2, 'timestamp': '2024-10-29T09:36:57.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.0004428837524104118, 'cost_qom': 1.066391609938622, 'cost_qod': 14.91, 'cost_context': 2.99, 'improvement_diff': 0.13159999251365662, 'performance_post': 0.5388000011444092, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '1', 'dataset_id': 'water_leak_02', 'train_round': 2, 'timestamp': '2024-10-29T09:36:52.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.023022181511030953, 'cost_qom': 0.7180971242361344, 'cost_qod': 14.93, 'cost_context': 2.99, 'improvement_diff': 0.0812000036239624, 'performance_post': 0.525600016117096, 'performance_test': 0.0}
