topology,target,BC1,BC2,BC3,BC4,BC5,BC6,H1.csv0,H1.csv1,H1.csvmean,H1.csvstd,time,H2.csv0,H2.csv1,H2.csvmean,H2.csvstd
0,4,0,0,0,0,0,1,0.00011014251708984375,0.0017726730346679688,0.0009414077758789063,0.13909311756714426,0.0,3.754730224609375e-05,0.0005038619995117187,0.00027070465087890625,0.05741515740058111
0,4,0,0,0,0,0,1,0.0017726730346679688,-6.591796875e-07,0.0008860069274902344,0.14129775314666557,2.0,0.0005038619995117187,-6.095428466796875e-05,0.000221453857421875,0.07289056066734617
0,4,0,0,0,0,0,1,-6.591796875e-07,0.0011223480224609374,0.0005608444213867187,0.16296363307080725,5.0,-6.095428466796875e-05,-0.0005446563720703125,-0.00030280532836914065,0.11718187570270718
0,4,0,0,0,0,0,1,0.0011223480224609374,0.00078961181640625,0.0009559799194335937,0.15593955302573098,7.0,-0.0005446563720703125,0.0005104415893554688,-1.7107391357421876e-05,0.11461200744888528
0,4,0,0,0,0,0,1,0.00078961181640625,0.0006722412109375,0.000730926513671875,0.13646953369389106,10.0,0.0005104415893554688,-5.839080810546875e-05,0.000226025390625,0.06959587098529263
0,4,0,0,0,0,0,1,0.0006722412109375,0.0014510910034179687,0.0010616661071777343,0.14084469480443948,12.0,-5.839080810546875e-05,-0.0007456787109375,-0.0004020347595214844,0.06148493209602523
0,4,0,0,0,0,0,1,0.0014510910034179687,1.605682373046875e-05,0.0007335739135742187,0.13203813917969334,15.0,-0.0007456787109375,0.0006121795654296875,-6.674957275390625e-05,0.05252544275148323
0,4,0,0,0,0,0,1,1.605682373046875e-05,0.0017704727172851563,0.0008932647705078125,0.12383818393101267,17.0,0.0006121795654296875,-0.0005490509033203125,3.15643310546875e-05,0.05374636582845379
0,4,0,0,0,0,0,1,0.0017704727172851563,0.0014854446411132812,0.0016279586791992187,0.298048230680855,20.0,-0.0005490509033203125,-0.00134390869140625,-0.0009464797973632813,0.32732760721498655
0,4,0,0,0,0,0,1,0.00011014251708984375,0.0017726730346679688,0.0009414077758789063,0.13909311756714426,0.0,3.754730224609375e-05,0.0005038619995117187,0.00027070465087890625,0.05741515740058111
0,4,0,0,0,0,0,1,0.0017726730346679688,-6.591796875e-07,0.0008860069274902344,0.14129775314666557,2.0,0.0005038619995117187,-6.095428466796875e-05,0.000221453857421875,0.07289056066734617
0,4,0,0,0,0,0,1,-6.591796875e-07,0.0011223480224609374,0.0005608444213867187,0.16296363307080725,5.0,-6.095428466796875e-05,-0.0005446563720703125,-0.00030280532836914065,0.11718187570270718
0,4,0,0,0,0,0,1,0.0011223480224609374,0.00078961181640625,0.0009559799194335937,0.15593955302573098,7.0,-0.0005446563720703125,0.0005104415893554688,-1.7107391357421876e-05,0.11461200744888528
0,4,0,0,0,0,0,1,0.00078961181640625,0.0006722412109375,0.000730926513671875,0.13646953369389106,10.0,0.0005104415893554688,-5.839080810546875e-05,0.000226025390625,0.06959587098529263
0,4,0,0,0,0,0,1,0.0006722412109375,0.0014510910034179687,0.0010616661071777343,0.14084469480443948,12.0,-5.839080810546875e-05,-0.0007456787109375,-0.0004020347595214844,0.06148493209602523
0,4,0,0,0,0,0,1,0.0014510910034179687,1.605682373046875e-05,0.0007335739135742187,0.13203813917969334,15.0,-0.0007456787109375,0.0006121795654296875,-6.674957275390625e-05,0.05252544275148323
0,4,0,0,0,0,0,1,1.605682373046875e-05,0.0017704727172851563,0.0008932647705078125,0.12383818393101267,17.0,0.0006121795654296875,-0.0005490509033203125,3.15643310546875e-05,0.05374636582845379
0,4,0,0,0,0,0,1,0.0017704727172851563,0.0014854446411132812,0.0016279586791992187,0.298048230680855,20.0,-0.0005490509033203125,-0.00134390869140625,-0.0009464797973632813,0.32732760721498655
