{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_04', 'train_round': 11, 'timestamp': '2024-11-05T11:00:41.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.00018802473305441832, 'cost_qom': 0.0, 'cost_qod': 12.36, 'cost_context': 2.99, 'improvement_diff': -0.02799999713897705, 'performance_post': 0.7856000065803528, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_07', 'train_round': 11, 'timestamp': '2024-11-05T11:00:45.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.00022754537669559126, 'cost_qom': 0.14397375451371985, 'cost_qod': 12.3, 'cost_context': 2.99, 'improvement_diff': 0.009199976921081543, 'performance_post': 0.7955999970436096, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_05', 'train_round': 11, 'timestamp': '2024-11-05T11:00:44.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.00022425810732624763, 'cost_qom': 0.0, 'cost_qod': 12.25, 'cost_context': 2.99, 'improvement_diff': -0.021600008010864258, 'performance_post': 0.7835999727249146, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_tester', 'train_round': 11, 'timestamp': '2024-11-05T11:00:51.000+07:00', 'edge_id': 'edge_tester', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 9.74, 'cost_context': 2.99, 'improvement_diff': 0.0, 'performance_post': 0.0, 'performance_test': 0.8040000200271606}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_02', 'train_round': 12, 'timestamp': '2024-11-05T11:01:26.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.00013407293909420572, 'cost_qom': 0.0, 'cost_qod': 12.44, 'cost_context': 2.99, 'improvement_diff': 0.0, 'performance_post': 0.8176000118255615, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_06', 'train_round': 12, 'timestamp': '2024-11-05T11:01:27.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.00018990316969642632, 'cost_qom': 0.0, 'cost_qod': 12.26, 'cost_context': 2.99, 'improvement_diff': -0.019200026988983154, 'performance_post': 0.7847999930381775, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_08', 'train_round': 12, 'timestamp': '2024-11-05T11:01:26.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.00020127365004009477, 'cost_qom': 0.08892584403013082, 'cost_qod': 10.76, 'cost_context': 2.99, 'improvement_diff': 0.011200010776519775, 'performance_post': 0.8131999969482422, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_03', 'train_round': 12, 'timestamp': '2024-11-05T11:01:31.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.00026346220094885327, 'cost_qom': 0.21508310402373354, 'cost_qod': 12.29, 'cost_context': 2.99, 'improvement_diff': 0.013200044631958008, 'performance_post': 0.8320000171661377, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_01', 'train_round': 12, 'timestamp': '2024-11-05T11:01:28.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.022347817396434284, 'cost_qom': 0.11405092284500142, 'cost_qod': 12.32, 'cost_context': 2.99, 'improvement_diff': 0.007200002670288086, 'performance_post': 0.8032000064849854, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_07', 'train_round': 12, 'timestamp': '2024-11-05T11:01:31.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.00022845753358257236, 'cost_qom': 0.0, 'cost_qod': 12.3, 'cost_context': 2.99, 'improvement_diff': -0.006400048732757568, 'performance_post': 0.7943999767303467, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_05', 'train_round': 12, 'timestamp': '2024-11-05T11:01:30.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.0002194088161476453, 'cost_qom': 0.077256922721115, 'cost_qod': 12.25, 'cost_context': 2.99, 'improvement_diff': 0.004800021648406982, 'performance_post': 0.8136000037193298, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_04', 'train_round': 12, 'timestamp': '2024-11-05T11:01:32.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.020579898472106676, 'cost_qom': 0.05885944725730567, 'cost_qod': 12.36, 'cost_context': 2.99, 'improvement_diff': 0.003600001335144043, 'performance_post': 0.8252000212669373, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_10', 'train_round': 12, 'timestamp': '2024-11-05T11:01:33.000+07:00', 'edge_id': 'edge10', 'cost_resource': 0.00019136118143863725, 'cost_qom': 0.0, 'cost_qod': 9.88, 'cost_context': 2.99, 'improvement_diff': -0.0059999823570251465, 'performance_post': 0.800000011920929, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_09', 'train_round': 12, 'timestamp': '2024-11-05T11:01:47.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.0001663017372382235, 'cost_qom': 0.02487509373775865, 'cost_qod': 11.59, 'cost_context': 2.99, 'improvement_diff': 0.0031999945640563965, 'performance_post': 0.7883999943733215, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_tester', 'train_round': 12, 'timestamp': '2024-11-05T11:02:05.000+07:00', 'edge_id': 'edge_tester', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 9.74, 'cost_context': 2.99, 'improvement_diff': 0.0, 'performance_post': 0.0, 'performance_test': 0.8019999861717224}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_02', 'train_round': 13, 'timestamp': '2024-11-05T11:02:22.000+07:00', 'edge_id': 'edge02', 'cost_resource': 0.00017015366906186907, 'cost_qom': 0.09245120234828831, 'cost_qod': 12.44, 'cost_context': 2.99, 'improvement_diff': 0.005600035190582275, 'performance_post': 0.8352000117301941, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_05', 'train_round': 13, 'timestamp': '2024-11-05T11:02:20.000+07:00', 'edge_id': 'edge05', 'cost_resource': 0.00018298142342597248, 'cost_qom': 0.0, 'cost_qod': 12.25, 'cost_context': 2.99, 'improvement_diff': -0.010800004005432129, 'performance_post': 0.8203999996185303, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_06', 'train_round': 13, 'timestamp': '2024-11-05T11:02:21.000+07:00', 'edge_id': 'edge06', 'cost_resource': 0.0002164246430167023, 'cost_qom': 0.05885944725730567, 'cost_qod': 12.26, 'cost_context': 2.99, 'improvement_diff': 0.003600001335144043, 'performance_post': 0.8252000212669373, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_08', 'train_round': 13, 'timestamp': '2024-11-05T11:02:19.000+07:00', 'edge_id': 'edge08', 'cost_resource': 0.00018760872045479185, 'cost_qom': 0.0, 'cost_qod': 10.76, 'cost_context': 2.99, 'improvement_diff': -0.00279998779296875, 'performance_post': 0.8163999915122986, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_07', 'train_round': 13, 'timestamp': '2024-11-05T11:02:22.000+07:00', 'edge_id': 'edge07', 'cost_resource': 0.0002365517777271569, 'cost_qom': 0.0, 'cost_qod': 12.3, 'cost_context': 2.99, 'improvement_diff': -0.014400005340576172, 'performance_post': 0.8019999861717224, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_09', 'train_round': 13, 'timestamp': '2024-11-05T11:02:21.000+07:00', 'edge_id': 'edge09', 'cost_resource': 0.0001455496140862753, 'cost_qom': 0.05750872588586447, 'cost_qod': 11.59, 'cost_context': 2.99, 'improvement_diff': 0.007200002670288086, 'performance_post': 0.8140000104904175, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_10', 'train_round': 13, 'timestamp': '2024-11-05T11:02:20.000+07:00', 'edge_id': 'edge10', 'cost_resource': 0.0001319645813811992, 'cost_qom': 0.05859218363365245, 'cost_qod': 9.88, 'cost_context': 2.99, 'improvement_diff': 0.007200002670288086, 'performance_post': 0.829200029373169, 'performance_test': 0.1899999976158142}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_01', 'train_round': 13, 'timestamp': '2024-11-05T11:02:24.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.00018728184205174446, 'cost_qom': 0.0, 'cost_qod': 12.32, 'cost_context': 2.99, 'improvement_diff': -0.0252000093460083, 'performance_post': 0.7860000133514404, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_04', 'train_round': 13, 'timestamp': '2024-11-05T11:02:24.000+07:00', 'edge_id': 'edge04', 'cost_resource': 0.00024587700341174146, 'cost_qom': 0.0, 'cost_qod': 12.36, 'cost_context': 2.99, 'improvement_diff': -0.0020000338554382324, 'performance_post': 0.8295999765396118, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_tester', 'train_round': 13, 'timestamp': '2024-11-05T11:02:30.000+07:00', 'edge_id': 'edge_tester', 'cost_resource': 0.0, 'cost_qom': 0.0, 'cost_qod': 9.74, 'cost_context': 2.99, 'improvement_diff': 0.0, 'performance_post': 0.0, 'performance_test': 0.8379999995231628}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_03', 'train_round': 13, 'timestamp': '2024-11-05T11:02:24.000+07:00', 'edge_id': 'edge03', 'cost_resource': 0.0002525813857771683, 'cost_qom': 0.0, 'cost_qod': 12.29, 'cost_context': 2.99, 'improvement_diff': -0.01759999990463257, 'performance_post': 0.8112000226974487, 'performance_test': 0.0}
{'model_id': 'leak_case3', 'run_id': '3', 'dataset_id': 'water_leak_01', 'train_round': 14, 'timestamp': '2024-11-05T11:02:45.000+07:00', 'edge_id': 'edge01', 'cost_resource': 0.006862366835430563, 'cost_qom': 0.0, 'cost_qod': 12.32, 'cost_context': 2.99, 'improvement_diff': -0.0023999810218811035, 'performance_post': 0.8212000131607056, 'performance_test': 0.0}
